연번,설치장소(위치),데이터기준일자
1,학성공원사거리 울산약국 앞 (중구 학성로 239),2020-10-27
2,학성공원사거리 인력산업 앞 (중구 학성공원 13길44),2020-10-27
3,복산성당 교통섬 (중구 구역전길37),2020-10-27
4,반구사거리 교통섬 울산H병원 앞 (중구 화합로 363),2020-10-27
5,반구사거리 교통섬 스포츠재활 (중구 화합로 358),2020-10-27
6,반구시장 김밥천국 앞 (중구 염포로 20),2020-10-27
7,복산사거리 피자스쿨 앞 (중구 번영로 478),2020-10-27
8,복산사거리 던킨도너츠 앞 (중구 번영로 482),2020-10-27
9,병영오거리 교통섬 하나로마트 앞 (중구 구교로 268),2020-10-27
10,구철길사거리 교통섬 낙지한마당 앞 (중구 화합로 371),2020-10-27
11,홈플러스 앞 (중구 번영로 475),2020-10-27
12,중앙전통시장 입구 (중구 번영로325),2020-10-27
13,태화루 사거리 (중구 태화동 77-2),2020-10-27
14,태화시장 입구(중구 태화동 92-21),2020-10-27
15,함월고 앞(중구 종가3길 25),2020-10-27
16,함월고 맞은편(중구 종가3길 33),2020-10-27
17,다운사거리 북카페 앞 (중구 다운로2),2020-10-27
18,다운사거리 북카페 맞은편 (중구 태화로 3),2020-10-27
19,다운사거리 쌈지상설할인매장 (중구 다운로 1),2020-10-27
20,병영사거리 피자빙고 앞 (중구 번영로 2),2020-10-27
21,병영사거리 배스킨라빈스 앞 (중구 번영로 585),2020-10-27
22,병영사거리 BF편의점 (중구 번영로 586),2020-10-27
23,병영오거리 병영 정형외과 앞 (중구 번영로 566),2020-10-27
24,병영 약사천 (중구 번영로 574),2020-10-27
25,병영 약사천 (중구 번영로 574),2020-10-27
26,병영 약사천 (중구 번영로 574),2020-10-27
27,반구시장 롯데리아 앞 (중구 염포로 21),2020-10-27
28,외솔중학교 후문(중구 종가로 710),2020-10-27
29,복산사거리 삼성디지털플라자 방면 (중구 번영로 483),2020-10-27
30,함월 노인복지관 (중구 종가3길 15),2020-10-27
31,함월 노인복지관 (중구 종가3길 15),2020-10-27
32,함월 노인복지관 (중구 종가3길 15),2020-10-27
33,반구어린이집 내 (중구 반구정 4길 66),2020-10-27
34,울산어린이집 내 (중구 화진4길 49),2020-10-27
35,울산어린이집 내 (중구 화진4길 49),2020-10-27
36,옥교어린이집 내 (중구 옥교8길 45),2020-10-27
37,옥교어린이집 내 (중구 옥교8길 45),2020-10-27
38,병영어린이집 내 (중구 곽남3안길 19),2020-10-27
39,북부 순환도로 609 (복산 삼거리),2020-10-27
40,번영로 435 (MBC 사거리),2020-10-27
41,젊음의 2거리 33 스타벅스 앞,2020-10-27
42,우정선경 2차 아파트 ,2020-10-27
43,유곡로 77 (선경맨션 앞),2020-10-27
44,종가로 710 (외솔중학교 후문 맞은편),2020-10-27
45,유곡동 259-2 (공룡발자국공원),2020-10-27
46,다운동 (입화산 참살이숲 어린이놀이터),2020-10-27
47,장현동 469 (황방산 생태야영장),2020-10-27
48,태화동 281 (태화연캠핑장),2020-10-27
